gs_name,gene_symbol
Cajal-Retzius cells.Brain,Reln
Cajal-Retzius cells.Brain,Diablo
Cajal-Retzius cells.Brain,St3gal5
Cajal-Retzius cells.Brain,Isoc1
Cajal-Retzius cells.Brain,Smoc2
Cajal-Retzius cells.Brain,Dync1i1
Cajal-Retzius cells.Brain,Nhlh2
Cajal-Retzius cells.Brain,Clstn2
Cajal-Retzius cells.Brain,Tmem163
Cajal-Retzius cells.Brain,Cacna2d2
Cajal-Retzius cells.Brain,Cib2
Cajal-Retzius cells.Brain,Lhx1os
Cajal-Retzius cells.Brain,Ndnf
Cajal-Retzius cells.Brain,Lingo1
Cajal-Retzius cells.Brain,Lnpk
Cajal-Retzius cells.Brain,Rnf138
Cajal-Retzius cells.Brain,Tmem170b
Cajal-Retzius cells.Brain,Abcc5
Cajal-Retzius cells.Brain,Cnrip1
Cajal-Retzius cells.Brain,Ebf3
Cajal-Retzius cells.Brain,Fut9
Cajal-Retzius cells.Brain,Pabpn1
Cajal-Retzius cells.Brain,Gnl3l
Cajal-Retzius cells.Brain,Nudt2
Cajal-Retzius cells.Brain,Slc25a46
Cajal-Retzius cells.Brain,Nsmce3
Cajal-Retzius cells.Brain,Dach1
Cajal-Retzius cells.Brain,Fam69b
Cajal-Retzius cells.Brain,Homer2
Cajal-Retzius cells.Brain,Map9
Cajal-Retzius cells.Brain,Dnm3
Cajal-Retzius cells.Brain,Lztfl1
Cajal-Retzius cells.Brain,Fsd1
Cajal-Retzius cells.Brain,Tceal1
Cajal-Retzius cells.Brain,Rab11fip2
Cajal-Retzius cells.Brain,Barhl2
Cajal-Retzius cells.Brain,Trim44
Cajal-Retzius cells.Brain,Slc17a6
Cajal-Retzius cells.Brain,B3galt1
Cajal-Retzius cells.Brain,Slitrk5
Cajal-Retzius cells.Brain,Erc2
Cajal-Retzius cells.Brain,Nbea
Cajal-Retzius cells.Brain,Slc25a36
Cajal-Retzius cells.Brain,Zdbf2
Cajal-Retzius cells.Brain,Mapk8
Cajal-Retzius cells.Brain,Gdf5
Cajal-Retzius cells.Brain,Ache
Cajal-Retzius cells.Brain,Ccm2
Cajal-Retzius cells.Brain,Wrap73
Cajal-Retzius cells.Brain,Nrg1
Cajal-Retzius cells.Brain,Atp13a2
Cajal-Retzius cells.Brain,Cntnap2
Cajal-Retzius cells.Brain,Pnoc
Cajal-Retzius cells.Brain,Lhx1
Cajal-Retzius cells.Brain,Lingo2
Cajal-Retzius cells.Brain,Fat3
Cajal-Retzius cells.Brain,Srgap3
Cajal-Retzius cells.Brain,Cdh4
Cajal-Retzius cells.Brain,Flrt3
Cajal-Retzius cells.Brain,Edil3
Cajal-Retzius cells.Brain,Car10
Cajal-Retzius cells.Brain,Zcchc12
Cajal-Retzius cells.Brain,Ralgps2
Cajal-Retzius cells.Brain,Fam196a
Cajal-Retzius cells.Brain,Smad1
Cajal-Retzius cells.Brain,Tbr1
Cajal-Retzius cells.Brain,Kcnh7
Cajal-Retzius cells.Brain,Lhx5
Cajal-Retzius cells.Brain,Calb2
Cajal-Retzius cells.Brain,Emx2
Cajal-Retzius cells.Brain,Zic2
Cajal-Retzius cells.Brain,Wnt7b
Cajal-Retzius cells.Brain,Aatf
Cajal-Retzius cells.Brain,Nanos1
Cajal-Retzius cells.Brain,Tbck
Cajal-Retzius cells.Brain,Rgmb
Cajal-Retzius cells.Brain,Dact1
Cajal-Retzius cells.Brain,Trp73
Cajal-Retzius cells.Brain,Eomes
Cajal-Retzius cells.Brain,Cnr1
Cardiac stem and precursor cells.Heart,Myh6
Cardiac stem and precursor cells.Heart,Wt1
Cardiac stem and precursor cells.Heart,Tbx18
Cardiac stem and precursor cells.Heart,Fut4
Cardiac stem and precursor cells.Heart,Nkx2-5
Cardiac stem and precursor cells.Heart,Isl1
Cardiac stem and precursor cells.Heart,Gata4
Cardiac stem and precursor cells.Heart,Etv2
Cardiac stem and precursor cells.Heart,Kit
Cardiac stem and precursor cells.Heart,Abcg2
Cardiac stem and precursor cells.Heart,Mesp1
Cardiac stem and precursor cells.Heart,Bmp4
Cardiac stem and precursor cells.Heart,Adgrl2
Cardiac stem and precursor cells.Heart,Tbx3
Cardiac stem and precursor cells.Heart,Tbx4
Cardiac stem and precursor cells.Heart,Wnt5a
Cardiac stem and precursor cells.Heart,Ankrd1
Cardiomyocytes.Heart,Tnnc1
Cardiomyocytes.Heart,Adm
Cardiomyocytes.Heart,Alcam 
Cardiomyocytes.Heart,Nppa
Cardiomyocytes.Heart,Fgf2
Cardiomyocytes.Heart,Nppb
Cardiomyocytes.Heart,Tnni3
Cardiomyocytes.Heart,Tnnt2
